East Side,Master Bedroom,Master Bathroom,Office,Ty's Bedroom,Luke's Bedroom,Sabry's Bedroom,Living Room
West Side,Brody's Bedroom,Kitchen,Den,Bar,Living Room,Outside
03/02/2025-16:16:28,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,78.0
03/02/2025-16:16:33,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,78.0
03/02/2025-16:17:03,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,78.0
03/02/2025-16:17:33,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,77.7
03/02/2025-16:18:02,73.0,71.0,73.0,72.0,73.0,75.0,71.3,75.0,71.0,73.0,73.7,71.3,77.3
03/02/2025-16:18:32,73.0,71.0,73.0,72.0,73.0,75.0,71.7,75.0,71.0,73.0,73.3,71.7,77.0
03/02/2025-16:19:02,73.0,71.0,73.0,72.0,73.0,75.0,72.0,75.0,71.0,73.0,73.0,72.0,77.0
03/02/2025-16:19:33,73.0,71.0,73.0,72.0,73.0,75.0,72.0,75.0,71.0,73.0,73.0,72.0,77.0
03/02/2025-16:20:06,73.0,71.0,73.0,72.0,73.0,75.0,71.7,75.0,71.0,73.0,73.3,71.7,77.0
03/02/2025-16:20:32,73.0,71.0,73.0,72.0,73.0,75.0,71.3,75.0,71.0,73.0,73.7,71.3,76.7
03/02/2025-16:21:03,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,76.3
03/02/2025-16:21:33,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,76.0
03/02/2025-16:22:02,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,76.0
03/02/2025-16:22:32,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,75.7
03/02/2025-16:23:02,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,75.3
03/02/2025-16:23:32,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,75.0
03/02/2025-16:24:03,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,75.0
03/02/2025-16:24:32,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,74.7
03/02/2025-16:25:04,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,74.3
03/02/2025-16:25:32,73.0,71.0,73.0,72.0,73.0,75.0,71.0,75.0,71.0,73.0,74.0,71.0,74.0
